name,category,type,district,wgs_lng,wgs_lat
静点明苑休闲,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.976738,30.710536
博越足球俱乐部,sports,体育休闲服务;运动场馆;足球场,金牛区,103.981569,30.711596
网居网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.979823,30.710219
梦之翼音乐啤酒创意体验馆,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.978657,30.709643
龙湖·源著(两河西三路),sports,商务住宅;住宅区;住宅小区|体育休闲服务;休闲场所;休闲场所,金牛区,103.977925,30.716101
兄弟联盟网吧(两河西三路),sports,体育休闲服务;娱乐场所;网吧,金牛区,103.978757,30.718006
鑫月KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,103.977478,30.709712
瑞河酒店-棋牌室,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,103.976897,30.710504
舍得会馆,sports,体育休闲服务;休闲场所;休闲场所,金牛区,103.976645,30.709619
西线阳光游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,103.992025,30.713434
七彩糖果儿童乐园,sports,体育休闲服务;休闲场所;游乐场,金牛区,103.990061,30.712537
当红不让KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,103.991414,30.71139
极帝网络会所,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.991093,30.710882
金科苑网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.986081,30.712698
黄金竹园山庄,sports,体育休闲服务;度假疗养场所;度假村,金牛区,103.990467,30.712958
宾贝特健身会所(黄金东一路),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.991397,30.711224
震武拳馆(震武文化交流中心),sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.988214,30.717878
善菩瑜伽,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.989989,30.710412
西元网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.991397,30.711224
华歆网络,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.989986,30.711464
万裕电竞,sports,体育休闲服务;娱乐场所;游戏厅,金牛区,103.990978,30.711554
梵希瑜珈,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.989262,30.710097
兴隆网吧(民居路),sports,体育休闲服务;娱乐场所;网吧,金牛区,103.999383,30.713201
颐景阁棋牌品茗,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,103.997682,30.714497
郦湾国际酒店-健身房,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.996615,30.715561
联博网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.998186,30.714566
道森健身服务有限公司,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.008733,30.712388
成都市穆斯林土桥颐年院,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,104.012497,30.717276
声阔音乐世界,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.010357,30.713776
火星人网咖(迎宾大道),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.008917,30.713271
蓝波湾网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.009499,30.713439
道森博格健身,sports,体育休闲服务;运动场馆;健身中心,金牛区,104.007104,30.716567
每时运动健身馆,sports,体育休闲服务;运动场馆;健身中心,金牛区,104.013575,30.715977
每时健康运动生活馆,sports,体育休闲服务;运动场馆;健身中心,金牛区,104.00898,30.713272
原野农家乐,sports,体育休闲服务;度假疗养场所;度假村,金牛区,104.017165,30.714189
颐乐村养老院,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,104.022367,30.714808
娇子游泳馆,sports,体育休闲服务;运动场馆;游泳馆,金牛区,104.018357,30.718918
蜀西皓月游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,104.015769,30.712397
金牛山庄网球,sports,体育休闲服务;运动场馆;网球场,金牛区,104.016184,30.710356
金牛山庄游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,104.015795,30.710157
金牛宾馆室外网球馆(金牛店),sports,体育休闲服务;运动场馆;网球场,金牛区,104.014368,30.716381
娇子网球馆,sports,体育休闲服务;运动场馆;网球场,金牛区,104.019769,30.719292
千城网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.017797,30.712193
金牛山庄棋牌室,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.016134,30.710318
跃进社区党员文化活动室,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.016991,30.714394
跃进村养老院,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.021971,30.715283
左岸之恋网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.017026,30.712312
红酒雪茄吧(华丰路),sports,体育休闲服务;娱乐场所;酒吧,金牛区,104.027266,30.71754
乐酷动漫电玩城(金府路),sports,体育休闲服务;娱乐场所;游戏厅,金牛区,104.033201,30.714007
捷芙健身中心,sports,体育休闲服务;运动场馆;健身中心,金牛区,104.025337,30.716865
世纪台球,sports,体育休闲服务;运动场馆;台球厅,金牛区,104.033376,30.71402
华侨城·纯水岸会所,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.025736,30.717093
用餐品茗棋牌,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.033405,30.714457
卡迪乐量贩式KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.043187,30.716919
本纪网络,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.035338,30.712108
