community_id,name,district,center_lng,center_lat,polygon_wkt
73,国宾·时光汇,金牛区,104.004851,30.7263,"POLYGON ((104.0038596 30.7182033, 103.9970527 30.7194054, 103.9969478 30.7194804, 103.9971549 30.7226172, 103.9973368 30.7242403, 103.9992751 30.7314242, 104.0078173 30.7321394, 104.0144676 30.7299882, 104.014571 30.7298945, 104.0129625 30.7224865, 104.0093265 30.7184069, 104.0038596 30.7182033))"
74,泽瑞西园,金牛区,104.011201,30.721995,"POLYGON ((104.0162556 30.7132993, 104.0089046 30.7138653, 104.0005616 30.7160362, 104.0019937 30.7251474, 104.0052545 30.7290735, 104.0080212 30.7289753, 104.0137088 30.7266472, 104.0190601 30.7227882, 104.0164056 30.7132996, 104.0162556 30.7132993))"
75,金桥苑(信息园西路),金牛区,104.005541,30.721624,"POLYGON ((104.0115645 30.7148915, 104.003377 30.715707, 103.9995205 30.7170225, 103.9983863 30.7180971, 103.9969478 30.7194804, 103.9971549 30.7226172, 103.9973368 30.7242403, 103.9981796 30.7253761, 104.0014906 30.7290449, 104.0042189 30.7293603, 104.0080212 30.7289753, 104.0122401 30.7257214, 104.0135085 30.7215484, 104.0127473 30.7173531, 104.0115645 30.7148915))"
76,金泉街道金牛社区,金牛区,104.011277,30.725262,"POLYGON ((104.0128902 30.7174395, 104.0061628 30.7191939, 104.0032403 30.7217675, 104.003528 30.7269661, 104.004492 30.7317672, 104.0078173 30.7321394, 104.0124015 30.7316147, 104.0192309 30.7299997, 104.0190601 30.7227882, 104.0129537 30.7174779, 104.0128902 30.7174395))"
77,富兴苑(西华大道),金牛区,104.023158,30.728099,"POLYGON ((104.02957 30.7203653, 104.0175107 30.7320323, 104.0174274 30.7321401, 104.018886 30.7336758, 104.0202557 30.7339561, 104.0270905 30.7331236, 104.0313268 30.7313021, 104.0298367 30.7208071, 104.02957 30.7203653))"
78,西园,金牛区,104.014019,30.723275,"POLYGON ((104.0101535 30.7172836, 104.0061628 30.7191939, 104.0050797 30.7226642, 104.0052462 30.7251616, 104.0064549 30.7302113, 104.0164824 30.7283311, 104.0190601 30.7227882, 104.0129537 30.7174779, 104.0128091 30.7173904, 104.0127473 30.7173531, 104.0101535 30.7172836))"
79,金牛区瓦子社区,金牛区,104.016357,30.725494,"POLYGON ((104.0097699 30.7209195, 104.0083787 30.7226781, 104.0077001 30.7237159, 104.0070155 30.7258905, 104.0070523 30.7260621, 104.0080212 30.7289753, 104.0101505 30.7303124, 104.0122802 30.7315492, 104.0124015 30.7316147, 104.0208606 30.7309861, 104.0224487 30.7291729, 104.0227686 30.7285703, 104.0190601 30.7227882, 104.0172713 30.7213167, 104.0097699 30.7209195))"
80,金泉街道青杠社区,金牛区,104.022213,30.728337,"POLYGON ((104.0287892 30.7211143, 104.0219336 30.7216604, 104.0153864 30.7249983, 104.0146019 30.7297765, 104.0159958 30.7360164, 104.0163813 30.7360779, 104.0202557 30.7339561, 104.0205679 30.7335972, 104.0287892 30.7211143))"
81,纯水岸2区,金牛区,104.023266,30.722188,"POLYGON ((104.0291543 30.7204212, 104.0219336 30.7216604, 104.0227686 30.7285703, 104.0287892 30.7211143, 104.0292719 30.7204888, 104.0291543 30.7204212))"
82,纯水岸北区,金牛区,104.025836,30.722125,"POLYGON ((104.0275532 30.7147716, 104.0219336 30.7216604, 104.0207781 30.7281714, 104.0224487 30.7291729, 104.0324176 30.718008, 104.0330506 30.7156014, 104.0275532 30.7147716))"
83,华侨城·天鹅堡,金牛区,104.02658,30.722611,"POLYGON ((104.0275532 30.7147716, 104.0219336 30.7216604, 104.0207781 30.7281714, 104.0224487 30.7291729, 104.0324176 30.718008, 104.0330506 30.7156014, 104.0275532 30.7147716))"
84,华侨城纯水岸1期,金牛区,104.025851,30.719528,"POLYGON ((104.0236441 30.7124417, 104.0210471 30.7164772, 104.0209874 30.7169751, 104.0259506 30.7245577, 104.0335751 30.7198514, 104.0345212 30.7142049, 104.0342612 30.7140503, 104.0236441 30.7124417))"
85,华侨城3期,金牛区,104.024789,30.721593,"POLYGON ((104.0275532 30.7147716, 104.0219336 30.7216604, 104.0207781 30.7281714, 104.0224487 30.7291729, 104.0324176 30.718008, 104.0330506 30.7156014, 104.0275532 30.7147716))"
